quarter,TH/J,t,t_squared,P_max_t,log_P_max_t,model_value
2011-01-01,1.6504692857142857e-06,1.0,1,3.78e-06,-12.485786548332777,
2011-04-01,1.6780769531249998e-06,2.0,4,3.78e-06,-12.485786548332777,1.6504692857146387e-06
2011-07-01,1.7805671957671957e-06,3.0,9,3.78e-06,-12.485786548332777,1.6830112370403506e-06
2011-10-01,2.4403129032258063e-06,4.0,16,2.33e-05,-10.66705719739262,1.7991244712122214e-06
2012-01-01,4.247052813852814e-06,5.0,25,2.33e-05,-10.66705719739262,2.5577840852776532e-06
2012-04-01,4.05002427184466e-06,6.0,36,2.33e-05,-10.66705719739262,4.5784284266339166e-06
2012-07-01,5.161923121387283e-06,7.0,49,2.33e-05,-10.66705719739262,4.0640226984608295e-06
2012-10-01,3.479927282608696e-05,8.0,64,2.33e-05,-10.66705719739262,5.357386116386684e-06
2013-01-01,7.541545773955775e-05,9.0,81,0.00025,-8.294049640102028,3.998340705793922e-05
2013-04-01,0.0004315991112840467,10.0,100,0.00125,-6.684611727667927,8.323606155154494e-05
2013-07-01,0.0006150644814893616,11.0,121,0.00125,-6.684611727667927,0.0004946993204223497
2013-10-01,0.0006276939292496172,12.0,144,0.00125,-6.684611727667927,0.0006561704812472669
2014-01-01,0.0006470282641414142,13.0,169,0.001429,-6.550780380034407,0.0006358780941695589
2014-04-01,0.000840969074562798,14.0,196,0.002,-6.214608098422191,0.0006515836724462154
2014-07-01,0.000999980426679842,15.0,225,0.002,-6.214608098422191,0.0008753702032678124
2014-10-01,0.001277034301610306,16.0,256,0.00535,-5.230658718074222,0.0010326523700476334
2015-01-01,0.0012665529475675676,17.0,289,0.00535,-5.230658718074222,0.0013299888692340515
2015-04-01,0.0014314208090909092,18.0,324,0.00535,-5.230658718074222,0.0012724425617771675
2015-07-01,0.0017605180284894838,19.0,361,0.00535,-5.230658718074222,0.0014609587849817047
2015-10-01,0.002174444290051458,20.0,400,0.00714,-4.9420425026306445,0.0018220695025210304
2016-01-01,0.0022451352352769677,21.0,441,0.00714,-4.9420425026306445,0.0022554153117292056
2016-04-01,0.0039856833015576324,22.0,484,0.00714,-4.9420425026306445,0.002269226099082673
2016-07-01,0.005133378673090909,23.0,529,0.0102,-4.585367558691911,0.004291975064391031
2016-10-01,0.005274838655384615,24.0,576,0.0102,-4.585367558691911,0.005377641851790389
2017-01-01,0.006001741024749163,25.0,625,0.0102,-4.585367558691911,0.005335024197428111
2017-04-01,0.005695494185957446,26.0,676,0.0102,-4.585367558691911,0.006136957905490225
2017-07-01,0.006272816536075949,27.0,729,0.0102,-4.585367558691911,0.00566191458436796
2017-10-01,0.007965319324353742,28.0,784,0.0102,-4.585367558691911,0.006368355651108848
2018-01-01,0.008897216115363881,29.0,841,0.01021,-4.584387646805562,0.008273659783022413
2018-04-01,0.008524915501762114,30.0,900,0.01021,-4.584387646805562,0.009104237723882951
2018-07-01,0.009688244154237288,31.0,961,0.01021,-4.584387646805562,0.008490303788968829
2018-10-01,0.008454941971794873,32.0,1024,0.015384,-4.174427270695658,0.00988557363415847
2019-01-01,0.009960248196638656,33.0,1089,0.02,-3.912023005428146,0.008269140163340136
2019-04-01,0.01007385464620253,34.0,1156,0.02,-3.912023005428146,0.010195046408786037
2019-07-01,0.011685976974452554,35.0,1225,0.0253,-3.6769508832486624,0.010127816243087902
2019-10-01,0.013946092265217392,36.0,1296,0.0253,-3.6769508832486624,0.011974278735839023
2020-01-01,0.01299215466302521,37.0,1369,0.0253,-3.6769508832486624,0.014381249908045152
2020-04-01,0.015947706655681817,38.0,1444,0.0339,-3.3843402645957323,0.012889590781695484
2020-07-01,0.015270950118867924,39.0,1521,0.0339,-3.3843402645957323,0.016446911001743208
2020-10-01,0.01339892274676259,40.0,1600,0.0339,-3.3843402645957323,0.015225932724363306
2021-01-01,0.013281623127624308,41.0,1681,0.0339,-3.3843402645957323,0.01306671107090309
2021-04-01,0.016279810687272727,42.0,1764,0.0339,-3.3843402645957323,0.013212830617032911
2021-07-01,0.017922259699401196,43.0,1849,0.0339,-3.3843402645957323,0.01679135071082437
2021-10-01,0.018414864296363638,44.0,1936,0.0339,-3.3843402645957323,0.018282484207759738
2022-01-01,0.017444297974803152,45.0,2025,0.0339,-3.3843402645957323,0.01855302436671477
2022-04-01,0.017205982146153844,46.0,2116,0.0339,-3.3843402645957323,0.017295583128289247
2022-07-01,0.016789614474390244,47.0,2209,0.0465,-3.0683029663888264,0.01714286451620748
2022-10-01,0.016702094558024693,48.0,2304,0.0465,-3.0683029663888264,0.01670799063542046
2023-01-01,0.017630430274157304,49.0,2401,0.0465,-3.0683029663888264,0.01667498106996259
2023-04-01,0.02051964019,50.0,2500,-1.0,,0.017787972899519555
2023-07-01,0.021613011034999997,51.0,2601,-1.0,,0.021045188784027506
