row_index,hardware_name,hardware_index,date,hardware_release_date,speed,power,noise,hash,profit,Mhash/J
0,Antminer S9,115,2018-01-05 20:16:29,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
1,Antminer S7,126,2018-01-09 05:31:31,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
3,S7,126,2018-01-09 05:31:31,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
4,S7's,126,2018-01-09 05:31:31,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
6,S7,126,2018-01-09 05:31:31,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
7,S7,126,2018-01-09 05:31:31,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
15,S9 Miners,115,2018-02-23 22:47:34,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
16,Antminer S9,115,2018-02-26 16:34:51,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
21,Bitmain S9,115,2018-02-26 16:34:51,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
27,Avalon 741,121,2018-02-28 19:35:47,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
28,Antminer S9,115,2018-03-04 04:47:26,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
31,Avalon 841,103,2018-04-20 13:59:15,Apr 2018,13.6Th/s,1290W,65db,SHA-256,-$2.52/day,10542.635658914727
33,Antminer S9,115,2018-04-30 15:34:15,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
37,AntMiner S3,128,2018-06-26 00:44:46,Jul 2014,0.478Th/s,366W,60db,SHA-256,-$1.01/day,1306.0109289617485
39,S9,115,2018-08-24 18:22:22,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
41,Dragonmint T1,104,2019-04-26 03:53:09,Apr 2018,16Th/s,1480W,75db,SHA-256,-$2.86/day,10810.810810810812
42,T9+,110,2019-06-24 06:08:48,Jan 2018,10.5Th/s,1432W,76db,SHA-256,-$3.20/day,7332.402234636872
43,S9j,94,2019-06-24 06:08:48,Aug 2018,14.5Th/s,1350W,76db,SHA-256,-$2.62/day,10740.74074074074
44,Antminer S9,115,2019-06-24 06:08:48,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
53,S9,115,2019-10-06 21:48:11,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
55,Ant S9,115,2019-12-21 22:06:46,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
58,Antminer S9,115,2020-02-03 00:59:24,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
60,M32s,41,2021-11-24 00:16:11,Nov 2020,66Th/s,3432W,75db,SHA-256,-$4.09/day,19230.76923076923
65,Avalon 1246,39,2022-03-04 19:45:17,Jan 2021,90Th/s,3420W,75db,SHA-256,-$1.95/day,26315.78947368421
71,s19Jpro,29,2023-02-13 20:06:05,Aug 2021,96Th/s,2832W,75db,SHA-256,$0.27/day,33898.30508474576
80,Innosilicon T2T-26T,35,2023-08-02 23:27:17,Jul 2021,26Th/s,2100W,75db,SHA-256,-$3.77/day,12380.952380952382
