date,cost_per_coin
2013-07-31,0.4312294070146042
2013-08-31,0.7093860828909799
2013-09-30,1.3279871628379083
2013-10-31,4.0836233150458
2013-11-30,5.9745236910334745
2013-12-31,11.848180672005778
2014-01-31,23.523715273841987
2014-02-28,38.998000290941164
2014-03-31,51.48247329500164
2014-04-30,71.20752552670605
2014-05-31,91.92903307045553
2014-06-30,135.11378515579946
2014-07-31,137.03375588039094
2014-08-31,150.13892213806665
2014-09-30,212.7401887702515
2014-10-31,233.00299570287893
2014-11-30,241.1557041516158
2014-12-31,206.92800144513114
2015-01-31,201.6725326993281
2015-02-28,231.382951766553
2015-03-31,242.49459475934964
2015-04-30,251.47865209307577
2015-05-31,217.95723738409072
2015-06-30,231.32933151853538
2015-07-31,248.86540281448632
2015-08-31,231.9983784490512
2015-09-30,218.2102938384525
2015-10-31,227.28173220761408
2015-11-30,240.31440046625107
2015-12-31,282.9335430827567
2016-01-31,314.65050136701984
2016-02-29,496.49418189562306
2016-03-31,444.2632742509873
2016-04-30,553.8607939130222
2016-05-31,564.0943469443442
2016-06-30,378.585182311521
2016-07-31,512.3823651008889
2016-08-31,539.5091616336495
2016-09-30,587.5677101732352
2016-10-31,620.8261576736516
2016-11-30,677.0221439159127
2016-12-31,944.9668816733337
2017-01-31,876.1685308970309
2017-02-28,1128.3680825914944
2017-03-31,1001.6348660876579
2017-04-30,1182.5985571313565
2017-05-31,1239.8075574131014
2017-06-30,1888.538036240784
2017-07-31,2017.1732841330559
2017-08-31,1713.0410759571114
2017-09-30,2662.2362767365416
2017-10-31,2487.445572852979
2017-11-30,2578.9245060555163
2017-12-31,2967.1246584438495
2018-01-31,3891.80902857856
2018-02-28,4461.88658723914
2018-03-31,5299.385987945634
2018-04-30,5674.509925151901
2018-05-31,6375.7013034052425
2018-06-30,7687.172415348421
2018-07-31,8317.002208534997
2018-08-31,10340.667118022444
2018-09-30,9679.47136070928
2018-10-31,9959.96935561825
2018-11-30,8641.074216967529
2018-12-31,7820.082282172018
2019-01-31,9235.434484629523
2019-02-28,9475.547154551801
2019-03-31,7551.361652215493
2019-04-30,8499.663634707902
2019-05-31,9832.018202126028
2019-06-30,10811.574095175307
2019-07-31,11650.675496008731
2019-08-31,11298.282333887488
2019-09-30,12619.448481420146
2019-10-31,13955.916592296075
2019-11-30,12615.23799500327
2019-12-31,13535.281272581358
2020-01-31,15247.21112494764
2020-02-29,13379.825069321996
2020-03-31,15298.041152428625
2020-04-30,14519.572110466177
2020-05-31,20471.960169256487
2020-06-30,25708.851015847307
2020-07-31,24875.183442435307
2020-08-31,27402.820659115147
2020-09-30,30040.049073831135
2020-10-31,48696.565095910235
2020-11-30,36802.17481958795
2020-12-31,35345.82920573576
2021-01-31,39955.34838177779
2021-02-28,36658.69741377882
2021-03-31,45787.65786557225
2021-04-30,46393.31807966333
2021-05-31,37348.76899588037
2021-06-30,27922.59817683479
2021-07-31,23093.169729477457
2021-08-31,23393.929057115853
2021-09-30,26632.509838113943
2021-10-31,28029.012437263824
2021-11-30,32383.869634638853
2021-12-31,35240.56047677058
2022-01-31,39483.23027057692
2022-02-28,38971.62591567923
2022-03-31,41782.65446227213
2022-04-30,45098.046806428836
2022-05-31,44841.56814125331
2022-06-30,44070.44815929803
2022-07-31,41879.98011666909
2022-08-31,43708.91030851007
2022-09-30,58752.68845250523
2022-10-31,44646.27416112114
2022-11-30,53873.14570962165
2022-12-31,64391.565142586405
2023-01-31,58419.18615375187
2023-02-28,43802.20062207749
2023-03-31,66180.87765707426
2023-04-30,74657.2917707157
2023-05-31,69185.53545253462
2023-06-30,60427.562627387015
2023-07-31,73769.31487652607
2023-08-31,76183.6545560297
2023-09-30,65185.438737849836
2023-10-31,66492.50700728242
